旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
美侖大飯店,4116,49915,0.3976,2274,113503850,51602281,171189557,53,56,10,73,192
遠雄悅來大飯店,4572,97128,0.6965,3125,303560574,184347000,573114528,104,86,34,82,306
瑞穗天合國際觀光酒店,2376,49150,0.6782,7552,371156893,179911481,637504503,84,65,73,47,269
晶悅國際飯店,2295,7637,0.1097,1852,14144063,23412424,40990012,15,48,19,14,96
尊爵天際大飯店,3000,25913,0.2832,2159,55949783,282498416,340614206,28,47,13,13,101
南方莊園渡假飯店,1332,19376,0.4769,3749,72638059,136346445,257644521,36,60,28,17,141
台北諾富特華航桃園機場飯店,6192,59769,0.3165,3020,180524555,122346657,339310215,64,106,51,11,232
桃園喜來登酒店,2280,19444,0.2796,2031,39497371,91871728,143046893,46,64,26,11,147
名人堂花園大飯店,1536,17735,0.3786,5132,91019284,186867629,369237402,113,186,129,19,447
新竹喜來登大飯店,4632,66586,0.4713,2786,185477461,361656935,614578878,65,137,14,76,292
新竹老爺大酒店,2496,30908,0.406,2675,82673400,129573419,222830605,42,82,46,7,177
新竹國賓大飯店,3084,36007,0.3828,2735,98489941,342103164,480781780,81,176,40,14,311
*尊爵大飯店,2772,14648,0.1733,2624,38431372,112537838,168027485,12,46,17,21,96
*古華花園飯店,3060,45260,0.4849,2539,114932604,198746088,325710986,53,114,12,21,200
*福容大飯店   桃園,2184,19208,0.2884,2116,40640864,48777147,94485847,26,30,7,10,73
*福容大飯店 林口,1788,20616,0.378,2352,48483879,22061873,70838273,23,22,9,0,54
*豐邑喜來登大飯店,4608,14207,0.1011,2930,41631356,40085718,88621016,40,17,14,20,91
*馥藝金鬱金香酒店,2292,31735,0.454,2223,70549701,45070480,118312491,32,31,24,0,87
和逸飯店桃園青埔館,1526,26199,0.5616,4686,122770881,112027572,238161403,75,89,8,23,195
陽明山中國麗緻大飯店,564,6337,0.3684,3907,24761223,26049387,78207995,16,17,5,10,48
趣淘漫旅,2376,47536,0.656,2893,137504508,34551006,194947760,30,19,0,43,92
高雄圓山大飯店,1284,14282,0.3647,2654,37910347,121429616,172688284,28,79,14,23,144
礁溪老爺大酒店,2364,52201,0.724,7281,380082208,233149336,748397885,80,114,66,42,302
涵碧樓大飯店,1152,25410,0.7232,14735,374403859,81610427,517642935,81,102,40,73,296
雲品溫泉酒店日月潭,2532,55793,0.7225,9115,508565364,267224726,832022143,98,122,68,32,320
日月行館,1104,9511,0.2825,12379,117734333,19557504,140152961,22,24,8,2,56
凱撒大飯店,3372,90716,0.8821,5188,470638830,91787779,600016568,82,75,17,75,249
墾丁福華渡假飯店,5496,88131,0.5258,3601,317352651,95812732,429448914,103,66,0,109,278
知本老爺大酒店,2184,55834,0.8382,4495,250976169,129592105,431403632,46,56,42,69,213
太魯閣晶英酒店,1920,43930,0.7502,8454,371396483,115216383,540169774,69,48,30,43,190
*福容大飯店 福隆,2088,23618,0.3709,4119,97290183,62999062,166038707,30,46,26,9,111
*龍谷大飯店,2268,14242,0.2059,1906,27150162,9617898,41190538,26,8,3,4,41
*阿里山賓館(歷史館),420,5686,0.4439,5556,31590595,0,31590595,5,0,3,3,11
*名都觀光渡假大飯店,1164,3781,0.1065,2369,8958067,16562015,26266171,19,25,17,0,61
*阿里山賓館(現代館),1248,28872,0.7585,5289,152713387,96695826,254876001,44,44,16,13,117
*墾丁怡灣渡假酒店,2818,26344,0.3065,2687,70789629,4462601,78932237,25,11,6,14,56
福容大飯店    淡水漁人碼頭,2376,30085,0.4151,4140,124557688,145351175,290892517,36,61,44,15,156
大板根渡假酒店,1140,25609,0.7365,5026,128701832,156099280,472617656,24,64,5,135,228
板橋凱撒大飯店,4800,64175,0.4384,3333,213877845,103630132,335356053,48,75,30,33,186
台南大飯店,1824,27633,0.4967,2072,57262573,89194373,156964141,34,56,34,0,124
大億麗緻酒店,1575,17847,0.3727,3403,60733998,88306589,164950112,0,0,0,0,0
台糖長榮酒店(台南),2364,42211,0.5854,2603,109860180,213744711,348678327,51,86,24,14,175
香格里拉台南遠東國際大飯店,3972,71891,0.5934,3560,255909505,248497792,566831068,128,222,76,21,447
台南大員皇冠假日酒店,2767,50379,0.597,3301,166305733,175775777,378129020,56,99,71,10,236
蘭城晶英酒店,2316,43886,0.6213,9317,408903290,490713802,1003285075,75,191,36,48,350
長榮鳳凰酒店(礁溪),2772,51542,0.6096,5677,292585508,203874647,578328177,80,83,52,44,259
綠舞國際觀光飯店,1248,17790,0.4674,4756,84605889,46156689,153995637,77,84,47,22,230
麒麟大飯店,2004,23188,0.3794,3399,78812287,20531563,102167867,44,21,12,7,84
娜路彎大酒店,3312,61364,0.6075,4164,255531831,136691779,458573651,97,46,42,31,216
樂樂日暉溫泉酒店,576,4552,0.2591,2480,11290980,0,11296120,2,0,1,1,4
耐斯王子大飯店,2940,38538,0.4298,2224,85699567,128834965,225414285,49,91,26,13,179
澎湖福朋喜來登酒店,3972,55062,0.4545,3078,169488848,172397326,390696415,60,63,49,6,178
*瓏山林台北中和飯店,1512,7013,0.1521,2179,15284195,37024644,63995880,23,50,16,9,98
*碧特弗大飯店,648,2298,0.1163,2572,5911472,1055068,6966540,6,3,4,0,13
*美麗春天大飯店,408,1417,0.1139,2598,3681040,1253592,4934632,6,3,3,0,12
*遠百企業觀光旅館,480,513,0.035,1007,516400,0,516400,11,2,10,0,23
*幼獅大飯店,658,4745,0.2364,1392,6606100,0,6983720,2,0,4,4,10
*山泉大飯店,1752,31658,0.5924,1970,62374777,10328780,76492754,25,7,3,0,35
*悅川酒店,1236,25990,0.6894,3433,89211059,71401621,160612680,32,38,26,0,96
*台東桂田喜來登酒店,3360,56671,0.553,2962,167855583,168887075,365582443,38,76,47,15,176
*長榮桂冠酒店(基隆),1680,29240,0.5706,2779,81270618,49982848,158166392,35,25,16,6,82
*鈺通大飯店,1440,11253,0.2562,1966,22127823,53236109,75580654,21,32,6,3,62
*寶華大飯店,936,7216,0.2528,2135,15408066,126120,15558186,13,0,4,0,17
*陸島酒店,564,6273,0.3647,1374,8620918,1005840,9643595,8,2,3,0,13
總計,339248,4017152,0.3878,438049,14483909609,20883915285,40492457303,6757,10888,3930,2929,24504
