旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
台中福華大飯店,"1,860","31,057",54.75%,"2,582","80,187,849","105,830,953","216,757,229",41,75,17,29,162
台中金典酒店,"2,664","43,532",53.58%,"2,824","122,919,313","182,968,199","406,202,457",109,96,60,18,283
海灣藝術酒店,"2,712","22,738",27.49%,"2,056","46,748,413","5,507,236","54,921,733",27,10,9,5,51
*裕元花園酒店,"1,788","31,031",56.90%,"2,953","91,636,989","265,157,876","406,700,047",60,133,21,33,247
*台中港酒店,"2,400","45,523",62.19%,"2,635","119,954,552","25,846,002","156,562,724",51,18,17,8,94
花蓮亞士都飯店,"2,005","24,679",40.36%,"1,254","30,944,768","14,415,589","45,693,082",20,6,6,0,32
花蓮翰品酒店,"2,364","49,913",69.23%,"2,672","133,375,677","100,979,233","241,826,439",52,55,23,0,130
美侖大飯店,"4,116","49,915",39.76%,"2,274","113,503,850","51,602,281","171,189,557",53,56,10,73,192
遠雄悅來大飯店,"4,572","97,128",69.65%,"3,125","303,560,574","184,347,000","573,114,528",104,86,34,82,306
瑞穗天合國際觀光酒店,"2,376","49,150",67.82%,"7,552","371,156,893","179,911,481","637,504,503",84,65,73,47,269
晶悅國際飯店,"2,295","7,637",10.97%,"1,852","14,144,063","23,412,424","40,990,012",15,48,19,14,96
尊爵天際大飯店,"3,000","25,913",28.32%,"2,159","55,949,783","282,498,416","340,614,206",28,47,13,13,101
南方莊園渡假飯店,"1,332","19,376",47.69%,"3,749","72,638,059","136,346,445","257,644,521",36,60,28,17,141
台北諾富特華航桃園機場飯店,"6,192","59,769",31.65%,"3,020","180,524,555","122,346,657","339,310,215",64,106,51,11,232
桃園喜來登酒店,"2,280","19,444",27.96%,"2,031","39,497,371","91,871,728","143,046,893",46,64,26,11,147
名人堂花園大飯店,"1,536","17,735",37.86%,"5,132","91,019,284","186,867,629","369,237,402",113,186,129,19,447
新竹喜來登大飯店,"4,632","66,586",47.13%,"2,786","185,477,461","361,656,935","614,578,878",65,137,14,76,292
新竹老爺大酒店,"2,496","30,908",40.60%,"2,675","82,673,400","129,573,419","222,830,605",42,82,46,7,177
新竹國賓大飯店,"3,084","36,007",38.28%,"2,735","98,489,941","342,103,164","480,781,780",81,176,40,14,311
*尊爵大飯店,"2,772","14,648",17.33%,"2,624","38,431,372","112,537,838","168,027,485",12,46,17,21,96
*古華花園飯店,"3,060","45,260",48.49%,"2,539","114,932,604","198,746,088","325,710,986",53,114,12,21,200
*福容大飯店   桃園,"2,184","19,208",28.84%,"2,116","40,640,864","48,777,147","94,485,847",26,30,7,10,73
*福容大飯店 林口,"1,788","20,616",37.80%,"2,352","48,483,879","22,061,873","70,838,273",23,22,9,0,54
*豐邑喜來登大飯店,"4,608","14,207",10.11%,"2,930","41,631,356","40,085,718","88,621,016",40,17,14,20,91
*馥藝金鬱金香酒店,"2,292","31,735",45.40%,"2,223","70,549,701","45,070,480","118,312,491",32,31,24,0,87
和逸飯店桃園青埔館,"1,526","26,199",56.16%,"4,686","122,770,881","112,027,572","238,161,403",75,89,8,23,195
陽明山中國麗緻大飯店,564,"6,337",36.84%,"3,907","24,761,223","26,049,387","78,207,995",16,17,5,10,48
趣淘漫旅,"2,376","47,536",65.60%,"2,893","137,504,508","34,551,006","194,947,760",30,19,0,43,92
高雄圓山大飯店,"1,284","14,282",36.47%,"2,654","37,910,347","121,429,616","172,688,284",28,79,14,23,144
礁溪老爺大酒店,"2,364","52,201",72.40%,"7,281","380,082,208","233,149,336","748,397,885",80,114,66,42,302
涵碧樓大飯店,"1,152","25,410",72.32%,"14,735","374,403,859","81,610,427","517,642,935",81,102,40,73,296
雲品溫泉酒店日月潭,"2,532","55,793",72.25%,"9,115","508,565,364","267,224,726","832,022,143",98,122,68,32,320
日月行館,"1,104","9,511",28.25%,"12,379","117,734,333","19,557,504","140,152,961",22,24,8,2,56
凱撒大飯店,"3,372","90,716",88.21%,"5,188","470,638,830","91,787,779","600,016,568",82,75,17,75,249
墾丁福華渡假飯店,"5,496","88,131",52.58%,"3,601","317,352,651","95,812,732","429,448,914",103,66,0,109,278
知本老爺大酒店,"2,184","55,834",83.82%,"4,495","250,976,169","129,592,105","431,403,632",46,56,42,69,213
太魯閣晶英酒店,"1,920","43,930",75.02%,"8,454","371,396,483","115,216,383","540,169,774",69,48,30,43,190
*福容大飯店 福隆,"2,088","23,618",37.09%,"4,119","97,290,183","62,999,062","166,038,707",30,46,26,9,111
